Iteration = 203000 | Total steps: 19-40-75 | Min: 0.37 | Avg: 7.57 | Max: 29.29
Iteration = 204000 | Total steps: 36-72-118 | Min: 3.69 | Avg: 17.66 | Max: 74.72
Iteration = 205000 | Total steps: 22-44-62 | Min: 0.90 | Avg: 6.44 | Max: 19.78
Iteration = 206000 | Total steps: 16-28-42 | Min: 0.10 | Avg: 3.91 | Max: 16.48
Iteration = 207000 | Total steps: 18-43-78 | Min: 0.36 | Avg: 6.76 | Max: 19.91
Iteration = 208000 | Total steps: 16-50-75 | Min: 0.10 | Avg: 12.87 | Max: 53.65
Iteration = 209000 | Total steps: 28-41-56 | Min: 1.92 | Avg: 3.16 | Max: 4.97
Iteration = 210000 | Total steps: 21-40-59 | Min: 0.39 | Avg: 6.34 | Max: 18.15
Iteration = 211000 | Total steps: 47-66-99 | Min: 3.09 | Avg: 15.01 | Max: 57.32
Iteration = 212000 | Total steps: 16-40-69 | Min: 0.10 | Avg: 6.83 | Max: 21.36
Iteration = 213000 | Total steps: 26-45-97 | Min: 1.43 | Avg: 5.53 | Max: 24.02
Iteration = 214000 | Total steps: 16-30-45 | Min: 0.10 | Avg: 3.57 | Max: 15.94
Iteration = 215000 | Total steps: 19-36-50 | Min: 0.17 | Avg: 9.34 | Max: 31.57
Iteration = 216000 | Total steps: 16-31-48 | Min: 0.10 | Avg: 8.96 | Max: 50.86
Iteration = 217000 | Total steps: 23-52-93 | Min: 1.34 | Avg: 8.75 | Max: 37.17
Iteration = 218000 | Total steps: 16-30-59 | Min: 0.10 | Avg: 8.96 | Max: 35.87
Iteration = 219000 | Total steps: 16-39-67 | Min: 0.10 | Avg: 11.38 | Max: 65.12
Iteration = 220000 | Total steps: 16-43-57 | Min: 0.10 | Avg: 8.96 | Max: 47.16
Iteration = 221000 | Total steps: 25-64-121 | Min: 1.09 | Avg: 16.09 | Max: 61.06
Iteration = 222000 | Total steps: 26-46-75 | Min: 2.30 | Avg: 11.26 | Max: 49.69
Iteration = 223000 | Total steps: 16-33-70 | Min: 0.10 | Avg: 4.74 | Max: 17.51
Iteration = 224000 | Total steps: 16-23-37 | Min: 0.10 | Avg: 0.96 | Max: 2.89
Iteration = 225000 | Total steps: 20-28-46 | Min: 0.21 | Avg: 2.79 | Max: 15.73
Iteration = 226000 | Total steps: 16-33-45 | Min: 0.10 | Avg: 7.18 | Max: 23.40
Iteration = 227000 | Total steps: 19-41-62 | Min: 0.64 | Avg: 11.82 | Max: 68.32
Iteration = 228000 | Total steps: 16-47-66 | Min: 0.10 | Avg: 10.39 | Max: 32.20
Iteration = 229000 | Total steps: 31-52-75 | Min: 1.82 | Avg: 9.73 | Max: 34.31
Iteration = 230000 | Total steps: 22-49-71 | Min: 0.72 | Avg: 7.56 | Max: 41.18
Iteration = 231000 | Total steps: 20-30-43 | Min: 0.39 | Avg: 4.23 | Max: 27.14
Iteration = 232000 | Total steps: 16-28-69 | Min: 0.10 | Avg: 6.55 | Max: 54.62
Iteration = 233000 | Total steps: 18-43-78 | Min: 0.36 | Avg: 16.41 | Max: 101.85
Iteration = 234000 | Total steps: 18-45-86 | Min: 0.24 | Avg: 11.83 | Max: 41.10
Iteration = 235000 | Total steps: 16-45-58 | Min: 0.10 | Avg: 6.30 | Max: 17.28
Iteration = 236000 | Total steps: 21-46-78 | Min: 0.52 | Avg: 18.91 | Max: 66.42 [CHECK POINT]
Iteration = 237000 | Total steps: 16-29-45 | Min: 0.10 | Avg: 4.62 | Max: 28.85
Iteration = 238000 | Total steps: 16-45-82 | Min: 0.10 | Avg: 11.77 | Max: 72.07
Iteration = 239000 | Total steps: 23-32-48 | Min: 0.46 | Avg: 5.79 | Max: 17.23
Iteration = 240000 | Total steps: 23-37-51 | Min: 1.24 | Avg: 4.23 | Max: 14.65
Iteration = 241000 | Total steps: 16-37-57 | Min: 0.10 | Avg: 2.40 | Max: 5.38
Iteration = 242000 | Total steps: 16-21-32 | Min: 0.10 | Avg: 0.63 | Max: 2.47
Iteration = 243000 | Total steps: 20-49-99 | Min: 0.63 | Avg: 8.08 | Max: 33.12
Iteration = 244000 | Total steps: 16-35-54 | Min: 0.10 | Avg: 3.47 | Max: 10.42
Iteration = 245000 | Total steps: 16-38-65 | Min: 0.10 | Avg: 10.07 | Max: 27.00
Iteration = 246000 | Total steps: 16-36-62 | Min: 0.10 | Avg: 10.82 | Max: 54.18
Iteration = 247000 | Total steps: 23-41-95 | Min: 0.67 | Avg: 7.41 | Max: 47.86
Iteration = 248000 | Total steps: 29-51-70 | Min: 1.29 | Avg: 9.15 | Max: 29.91
Iteration = 249000 | Total steps: 20-37-86 | Min: 0.51 | Avg: 10.15 | Max: 42.38
Iteration = 250000 | Total steps: 16-26-37 | Min: 0.10 | Avg: 1.40 | Max: 2.96
Iteration = 251000 | Total steps: 16-39-80 | Min: 0.10 | Avg: 12.65 | Max: 37.02
Iteration = 252000 | Total steps: 16-23-43 | Min: 0.10 | Avg: 0.91 | Max: 3.56
Iteration = 253000 | Total steps: 16-22-38 | Min: 0.10 | Avg: 0.71 | Max: 1.48
Iteration = 254000 | Total steps: 16-23-40 | Min: 0.10 | Avg: 1.52 | Max: 5.36
Iteration = 255000 | Total steps: 16-38-62 | Min: 0.10 | Avg: 3.06 | Max: 7.14
Iteration = 256000 | Total steps: 16-36-77 | Min: 0.10 | Avg: 10.07 | Max: 52.13
Iteration = 257000 | Total steps: 16-26-49 | Min: 0.10 | Avg: 4.49 | Max: 14.94
