Iteration = 140000 | Total steps: 16-46-76 | Min: 0.10 | Avg: 7.23 | Max: 41.28
Iteration = 141000 | Total steps: 22-58-89 | Min: 0.65 | Avg: 4.27 | Max: 8.37
Iteration = 142000 | Total steps: 16-49-105 | Min: 0.10 | Avg: 5.81 | Max: 25.49
Iteration = 143000 | Total steps: 33-61-87 | Min: 1.12 | Avg: 6.09 | Max: 19.78
Iteration = 144000 | Total steps: 16-38-62 | Min: 0.10 | Avg: 6.22 | Max: 25.06
Iteration = 145000 | Total steps: 38-55-77 | Min: 2.92 | Avg: 6.46 | Max: 20.14
Iteration = 146000 | Total steps: 16-39-63 | Min: 0.10 | Avg: 3.25 | Max: 6.79
Iteration = 147000 | Total steps: 28-59-80 | Min: 1.87 | Avg: 8.35 | Max: 28.37 [CHECK POINT]
Iteration = 148000 | Total steps: 16-19-28 | Min: 0.10 | Avg: 0.75 | Max: 1.14
Iteration = 149000 | Total steps: 35-59-90 | Min: 2.55 | Avg: 5.02 | Max: 8.19
Iteration = 150000 | Total steps: 24-50-81 | Min: 0.51 | Avg: 5.71 | Max: 20.50
Iteration = 151000 | Total steps: 23-42-67 | Min: 0.88 | Avg: 5.48 | Max: 19.50
Iteration = 152000 | Total steps: 16-32-87 | Min: 0.10 | Avg: 7.73 | Max: 67.76
Iteration = 153000 | Total steps: 27-55-83 | Min: 0.79 | Avg: 11.96 | Max: 34.79 [CHECK POINT]
Iteration = 154000 | Total steps: 16-41-72 | Min: 0.10 | Avg: 3.04 | Max: 7.81
Iteration = 155000 | Total steps: 21-37-61 | Min: 0.83 | Avg: 2.85 | Max: 6.36
Iteration = 156000 | Total steps: 22-48-75 | Min: 0.64 | Avg: 6.26 | Max: 20.18
Iteration = 157000 | Total steps: 18-40-73 | Min: 0.36 | Avg: 5.16 | Max: 20.82
Iteration = 158000 | Total steps: 27-57-76 | Min: 0.82 | Avg: 4.87 | Max: 8.94
Iteration = 159000 | Total steps: 22-57-115 | Min: 0.40 | Avg: 6.75 | Max: 25.76
Iteration = 160000 | Total steps: 16-50-77 | Min: 0.10 | Avg: 5.71 | Max: 22.65
Iteration = 161000 | Total steps: 27-53-78 | Min: 1.42 | Avg: 8.01 | Max: 21.35
