Iteration = 205000 | Total steps: 16-21-31 | Min: 0.10 | Avg: 0.65 | Max: 1.24
Iteration = 206000 | Total steps: 16-23-28 | Min: 0.10 | Avg: 0.58 | Max: 1.63
Iteration = 207000 | Total steps: 10-26-39 | Min: 0.10 | Avg: 1.29 | Max: 3.05
Iteration = 208000 | Total steps: 16-17-20 | Min: 0.10 | Avg: 0.17 | Max: 0.49
Iteration = 209000 | Total steps: 16-22-33 | Min: 0.10 | Avg: 0.51 | Max: 1.09
Iteration = 210000 | Total steps: 21-30-47 | Min: 0.37 | Avg: 2.12 | Max: 5.40
Iteration = 211000 | Total steps: 16-23-35 | Min: 0.10 | Avg: 0.98 | Max: 2.97
Iteration = 212000 | Total steps: 17-27-45 | Min: 0.15 | Avg: 5.42 | Max: 41.87
Iteration = 213000 | Total steps: 17-19-22 | Min: 0.15 | Avg: 0.41 | Max: 0.96
Iteration = 214000 | Total steps: 16-22-29 | Min: 0.10 | Avg: 1.11 | Max: 2.58
Iteration = 215000 | Total steps: 16-22-30 | Min: 0.10 | Avg: 0.53 | Max: 1.37
Iteration = 216000 | Total steps: 19-24-41 | Min: 0.17 | Avg: 0.74 | Max: 2.20
Iteration = 217000 | Total steps: 17-23-36 | Min: 0.15 | Avg: 0.74 | Max: 1.75
Iteration = 218000 | Total steps: 16-19-28 | Min: 0.10 | Avg: 0.44 | Max: 1.45
Iteration = 219000 | Total steps: 16-25-41 | Min: 0.10 | Avg: 0.97 | Max: 2.24
Iteration = 220000 | Total steps: 16-24-36 | Min: 0.10 | Avg: 1.07 | Max: 2.47
Iteration = 221000 | Total steps: 17-27-39 | Min: 0.28 | Avg: 1.37 | Max: 2.35
Iteration = 222000 | Total steps: 17-22-29 | Min: 0.15 | Avg: 0.51 | Max: 1.26
Iteration = 223000 | Total steps: 18-22-30 | Min: 0.27 | Avg: 0.90 | Max: 2.86
Iteration = 224000 | Total steps: 16-18-22 | Min: 0.10 | Avg: 1.53 | Max: 13.96
Iteration = 225000 | Total steps: 16-20-26 | Min: 0.10 | Avg: 0.54 | Max: 2.44
Iteration = 226000 | Total steps: 11-22-36 | Min: 0.10 | Avg: 1.21 | Max: 2.36
Iteration = 227000 | Total steps: 16-18-24 | Min: 0.10 | Avg: 0.24 | Max: 0.71
Iteration = 228000 | Total steps: 13-25-32 | Min: 0.21 | Avg: 0.77 | Max: 1.86
Iteration = 229000 | Total steps: 16-23-31 | Min: 0.10 | Avg: 0.75 | Max: 1.78
Iteration = 230000 | Total steps: 16-19-27 | Min: 0.10 | Avg: 0.48 | Max: 1.48
Iteration = 231000 | Total steps: 16-21-50 | Min: 0.10 | Avg: 5.61 | Max: 51.76
Iteration = 232000 | Total steps: 19-21-26 | Min: 0.21 | Avg: 0.60 | Max: 1.08
Iteration = 233000 | Total steps: 14-21-30 | Min: 0.18 | Avg: 0.93 | Max: 2.22
Iteration = 234000 | Total steps: 10-21-36 | Min: 0.17 | Avg: 1.02 | Max: 2.18
Iteration = 235000 | Total steps: 16-21-27 | Min: 0.10 | Avg: 0.68 | Max: 1.78
Iteration = 236000 | Total steps: 16-19-31 | Min: 0.10 | Avg: 0.53 | Max: 2.30
Iteration = 237000 | Total steps: 16-20-31 | Min: 0.10 | Avg: 0.43 | Max: 1.03
Iteration = 238000 | Total steps: 16-22-37 | Min: 0.10 | Avg: 3.66 | Max: 28.81
Iteration = 239000 | Total steps: 16-21-38 | Min: 0.10 | Avg: 0.66 | Max: 2.28
Iteration = 240000 | Total steps: 16-20-30 | Min: 0.10 | Avg: 0.89 | Max: 2.70
Iteration = 241000 | Total steps: 16-19-24 | Min: 0.10 | Avg: 0.33 | Max: 1.08
Iteration = 242000 | Total steps: 7-20-40 | Min: 0.15 | Avg: 1.15 | Max: 3.57
Iteration = 243000 | Total steps: 11-20-26 | Min: 0.15 | Avg: 0.76 | Max: 1.65
Iteration = 244000 | Total steps: 16-29-44 | Min: 0.10 | Avg: 6.32 | Max: 50.34
Iteration = 245000 | Total steps: 2-17-34 | Min: 0.10 | Avg: 0.62 | Max: 2.17
Iteration = 246000 | Total steps: 16-17-21 | Min: 0.10 | Avg: 0.29 | Max: 0.96
