Iteration = 174000 | Total steps: 16-36-62 | Min: 0.10 | Avg: 2.45 | Max: 6.15
Iteration = 175000 | Total steps: 16-40-62 | Min: 0.10 | Avg: 2.47 | Max: 4.91
Iteration = 176000 | Total steps: 35-45-59 | Min: 1.82 | Avg: 5.19 | Max: 15.85
Iteration = 177000 | Total steps: 16-18-25 | Min: 0.10 | Avg: 0.78 | Max: 2.25
Iteration = 178000 | Total steps: 20-36-60 | Min: 1.80 | Avg: 5.02 | Max: 14.82
Iteration = 179000 | Total steps: 16-34-56 | Min: 0.10 | Avg: 5.12 | Max: 17.58
Iteration = 180000 | Total steps: 26-37-50 | Min: 1.76 | Avg: 3.21 | Max: 6.75
Iteration = 181000 | Total steps: 16-34-58 | Min: 0.10 | Avg: 2.32 | Max: 4.95
Iteration = 182000 | Total steps: 13-34-58 | Min: 0.39 | Avg: 4.08 | Max: 18.28
Iteration = 183000 | Total steps: 16-29-49 | Min: 0.10 | Avg: 2.14 | Max: 5.03
Iteration = 184000 | Total steps: 21-36-47 | Min: 0.70 | Avg: 2.60 | Max: 5.39
Iteration = 185000 | Total steps: 19-32-62 | Min: 0.69 | Avg: 2.20 | Max: 6.50
Iteration = 186000 | Total steps: 16-36-59 | Min: 0.10 | Avg: 2.64 | Max: 6.66
Iteration = 187000 | Total steps: 30-44-65 | Min: 0.84 | Avg: 3.65 | Max: 13.15
Iteration = 188000 | Total steps: 16-24-46 | Min: 0.10 | Avg: 1.77 | Max: 9.29
Iteration = 189000 | Total steps: 16-31-44 | Min: 0.10 | Avg: 1.77 | Max: 2.93
Iteration = 190000 | Total steps: 14-30-51 | Min: 0.15 | Avg: 3.14 | Max: 11.96
Iteration = 191000 | Total steps: 17-35-51 | Min: 0.32 | Avg: 2.37 | Max: 5.32
Iteration = 192000 | Total steps: 18-40-66 | Min: 0.24 | Avg: 2.21 | Max: 5.21
Iteration = 193000 | Total steps: 15-38-72 | Min: 0.59 | Avg: 7.97 | Max: 52.80 [CHECK POINT]
Iteration = 194000 | Total steps: 23-38-60 | Min: 0.73 | Avg: 3.15 | Max: 7.22
Iteration = 195000 | Total steps: 21-47-66 | Min: 1.00 | Avg: 4.45 | Max: 10.10
Iteration = 196000 | Total steps: 16-29-49 | Min: 0.10 | Avg: 1.92 | Max: 4.32
Iteration = 197000 | Total steps: 18-39-86 | Min: 0.90 | Avg: 4.58 | Max: 20.14
Iteration = 198000 | Total steps: 16-23-36 | Min: 0.10 | Avg: 1.15 | Max: 2.86
Iteration = 199000 | Total steps: 17-26-38 | Min: 0.15 | Avg: 1.79 | Max: 3.73
Iteration = 200000 | Total steps: 16-29-52 | Min: 0.10 | Avg: 2.50 | Max: 7.31
Iteration = 201000 | Total steps: 16-29-73 | Min: 0.10 | Avg: 3.24 | Max: 14.24
Iteration = 202000 | Total steps: 16-31-56 | Min: 0.10 | Avg: 2.09 | Max: 4.66
Iteration = 203000 | Total steps: 22-40-78 | Min: 0.49 | Avg: 3.13 | Max: 7.86
Iteration = 204000 | Total steps: 17-32-62 | Min: 0.44 | Avg: 3.24 | Max: 18.96
Iteration = 205000 | Total steps: 19-37-67 | Min: 0.50 | Avg: 4.71 | Max: 18.40
Iteration = 206000 | Total steps: 17-35-57 | Min: 0.35 | Avg: 2.97 | Max: 7.39
Iteration = 207000 | Total steps: 29-47-77 | Min: 2.49 | Avg: 5.65 | Max: 22.64
Iteration = 208000 | Total steps: 23-34-50 | Min: 0.95 | Avg: 3.60 | Max: 17.53
Iteration = 209000 | Total steps: 18-35-53 | Min: 1.56 | Avg: 2.84 | Max: 6.18
Iteration = 210000 | Total steps: 23-41-68 | Min: 0.68 | Avg: 2.78 | Max: 6.79
Iteration = 211000 | Total steps: 25-46-69 | Min: 1.14 | Avg: 4.18 | Max: 9.27
Iteration = 212000 | Total steps: 14-29-42 | Min: 0.92 | Avg: 2.98 | Max: 11.47
Iteration = 213000 | Total steps: 16-21-35 | Min: 0.10 | Avg: 0.75 | Max: 2.50
Iteration = 214000 | Total steps: 28-47-65 | Min: 1.60 | Avg: 4.01 | Max: 7.92
Iteration = 215000 | Total steps: 16-37-64 | Min: 0.10 | Avg: 3.89 | Max: 16.00
Iteration = 216000 | Total steps: 18-35-52 | Min: 0.24 | Avg: 3.50 | Max: 14.60
Iteration = 217000 | Total steps: 16-28-38 | Min: 0.10 | Avg: 1.82 | Max: 4.58
Iteration = 218000 | Total steps: 17-25-41 | Min: 0.15 | Avg: 1.31 | Max: 4.73
Iteration = 219000 | Total steps: 22-35-67 | Min: 0.53 | Avg: 2.04 | Max: 5.31
Iteration = 220000 | Total steps: 17-26-45 | Min: 0.15 | Avg: 1.49 | Max: 4.50
Iteration = 221000 | Total steps: 20-35-58 | Min: 1.13 | Avg: 2.95 | Max: 4.36
Iteration = 222000 | Total steps: 19-32-57 | Min: 0.37 | Avg: 2.92 | Max: 6.55
Iteration = 223000 | Total steps: 16-23-41 | Min: 0.10 | Avg: 1.58 | Max: 4.46
Iteration = 224000 | Total steps: 20-37-59 | Min: 0.63 | Avg: 2.98 | Max: 4.92
Iteration = 225000 | Total steps: 28-47-78 | Min: 1.61 | Avg: 4.38 | Max: 8.90
Iteration = 226000 | Total steps: 16-47-78 | Min: 0.10 | Avg: 5.11 | Max: 17.03
Iteration = 227000 | Total steps: 22-40-83 | Min: 0.89 | Avg: 4.07 | Max: 8.61
Iteration = 228000 | Total steps: 17-27-53 | Min: 0.20 | Avg: 1.42 | Max: 5.29
Iteration = 229000 | Total steps: 16-24-44 | Min: 0.10 | Avg: 0.75 | Max: 2.79
Iteration = 230000 | Total steps: 22-41-65 | Min: 0.18 | Avg: 2.76 | Max: 6.39
